time_vektor,d_15cm,d_30cm,d_50cm,d_100cm,d_200cm
2023-10-23 19:14:27+00:00,11.740001,11.629001,11.549001,12.120001,13.77
2023-10-23 20:14:29+00:00,11.690001,11.629001,11.540001,12.120001,13.780001
2023-10-23 21:14:25+00:00,11.610001,11.610001,11.599001,12.129001,13.790001
2023-10-23 22:14:15+00:00,11.59,11.620001,11.599001,12.120001,13.77
2023-10-23 23:14:19+00:00,11.559001,11.64,11.599001,12.120001,13.77
2023-10-24 00:14:28+00:00,11.549001,11.620001,11.629001,12.129001,13.750001
2023-10-24 01:14:18+00:00,11.52,11.599001,11.669001,12.120001,13.750001
2023-10-24 02:14:23+00:00,11.459001,11.59,11.669001,12.14,13.750001
2023-10-24 03:14:16+00:00,11.500001,11.59,11.700001,12.150001,13.729001
2023-10-24 04:14:10+00:00,11.47,11.629001,11.660001,12.160001,13.729001
2023-10-24 05:14:20+00:00,11.450001,11.59,11.68,12.150001,13.729001
2023-10-24 06:14:09+00:00,11.43,11.59,11.68,12.160001,13.660001
2023-10-24 07:14:19+00:00,11.410001,11.549001,11.72,12.160001,13.72
2023-10-24 08:14:08+00:00,11.400001,11.549001,11.709001,12.169001,13.700001
2023-10-24 09:14:12+00:00,11.379001,11.549001,11.7300005,12.169001,13.690001
2023-10-24 10:14:07+00:00,11.450001,11.570001,11.700001,12.18,13.709001
2023-10-24 11:14:01+00:00,11.509001,11.559001,11.700001,12.18,13.700001
2023-10-24 12:15:38+00:00,11.599001,11.629001,11.72,12.190001,13.660001
